id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
2729,0.02100000,0.00002018,0.00014311,0.000143120567376,srd,1,0,2,0.19324305,130,130,1278
2730,0.10558000,0.00004264,0.00007261,0.0000730136986301,bnb,8,0,1,,130,122,-1481
2731,0.13000000,0.00002167,0.00003210,0.0000371061643836,bnb,8,0,1,,124,116,-3408
2732,0.00220000,0.00000899,0.00006372,0.0000637588652482,knapsack,1,0,2,0.00779101,116,116,523
2733,0.00220000,0.00001319,0.00009354,0.0000935460992908,knapsack,1,0,2,0.00557782,116,116,818
2734,0.00220000,0.00002673,0.00018952,0.000189574468085,knapsack,1,0,2,0.00335109,116,116,1768
2735,0.00224200,0.00003924,0.00027828,0.000278297872340,srd,1,0,2,0.57881031,122,122,2647
2736,0.02678700,0.00003591,0.00025464,0.000254680851064,srd,1,0,2,0.00507709,122,122,2413
2737,0.04100000,0.00002888,0.00020476,0.000204822695035,srd,1,0,2,0.12863265,122,122,1919
2738,3.06515200,0.00011109,0.00026183,0.000291574803150,bnb,5,0,1,,124,119,6609
2739,0.00599100,0.00003804,0.00026975,0.000269787234043,srd,1,0,2,0.21511800,121,121,2563
2740,0.00100000,0.00002615,0.00018542,0.000185460992908,knapsack,1,0,2,0.00107385,121,121,1727
2741,0.10000000,0.00003448,0.00005882,0.0000590410958904,bnb,8,0,1,,121,113,-2240
2742,0.05000000,0.00001181,0.00008369,0.0000837588652482,knapsack,1,0,2,0.00018819,113,113,721
2743,0.05740500,0.00002911,0.00020642,0.000206453900709,srd,1,0,2,0.19256589,113,113,1935
2744,0.00055900,0.00000866,0.00006139,0.0000614184397163,knapsack,1,0,2,0.00278343,115,115,500
2745,0.03100000,0.00000974,0.00004678,0.0000468269230769,knapsack,2,0,2,0.00015826,115,114,-5
2746,0.05300000,0.00002988,0.00006649,0.0000784251968504,bnb,5,0,1,,114,109,-692
2747,0.10000000,0.00002643,0.00018742,0.000187446808511,knapsack,1,0,2,0.00527357,112,112,1748
2748,0.00310000,0.00001887,0.00013378,0.000133829787234,knapsack,1,0,2,0.00188113,114,114,1216
2749,0.05000000,0.00003241,0.00022984,0.000229858156028,knapsack,1,0,2,0.00162863,115,115,2167
2750,0.00120000,0.00002746,0.00019472,0.000194751773050,knapsack,1,0,2,0.00040117,115,115,1820
2751,0.00200000,0.00002816,0.00019969,0.000199716312057,srd,1,0,2,0.23407164,115,115,1869
2752,0.00200000,0.00003543,0.00025126,0.000251276595745,srd,1,0,2,0.04796457,115,115,2438
2753,0.02310300,0.00003262,0.00023130,0.000231347517730,srd,1,0,2,0.02676438,115,115,2241
2754,0.06000000,0.00004711,0.00010241,0.00010515625000,bnb,6,0,1,,115,109,200
2755,0.32140000,0.00004421,0.00009562,0.0000986830357143,bnb,6,0,1,,109,103,-61
2756,0.00210000,0.00000770,0.00005459,0.0000546099290780,knapsack,1,0,2,0.00316587,103,103,519
2757,0.02250000,0.00000665,0.00003196,0.0000319711538462,knapsack,2,0,2,0.00049335,103,102,-423
2758,0.03000000,0.00002010,0.00007281,0.0000728260869565,knapsack,3,0,2,0.00047325,102,100,75
2759,0.03592000,0.00003220,0.00009360,0.0000936046511628,knapsack,4,0,2,0.00002105,100,97,544
2760,0.03300000,0.00001646,0.00011671,0.000116737588652,srd,1,0,2,0.16564068,100,100,901
2761,0.02500000,0.00001822,0.00012915,0.000129219858156,srd,1,0,2,0.02498178,100,100,1025
2762,0.01000000,0.00000987,0.00004744,0.0000474519230769,knapsack,2,0,2,0.00001118,101,100,-141
2763,0.00115300,0.00001035,0.00007336,0.0000734042553191,knapsack,1,0,2,0.00200252,102,102,472
2764,0.00530600,0.00002060,0.00014609,0.000146099290780,knapsack,1,0,2,0.00367340,102,102,1168
2765,0.99967400,0.00006492,0.00016412,0.000170393700787,bnb,5,0,1,,102,97,2402
2766,0.00210000,0.00000407,0.00001952,0.0000195673076923,knapsack,2,0,2,0.00099845,99,98,-608
